,,,,,,,,
Table C9,,,,,,,,
"Primary energy consumption in Australia, by state and territory, energy units a",,,,,,,,
,,,,,,,,
,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Northern Territory,Australia
2000-01,"1,450.5","1,337.2","1,020.0",708.1,329.3,93.6,73.2,"5,011.8"
2001-02,"1,445.7","1,371.9","1,057.8",722.9,328.1,97.2,73.4,"5,097.0"
2002-03,"1,510.5","1,330.6","1,064.0",720.0,357.3,99.5,56.8,"5,138.7"
2003-04,"1,574.8","1,364.9","1,081.1",730.3,371.5,103.4,58.7,"5,284.7"
2004-05,"1,544.9","1,356.5","1,225.1",748.2,355.6,107.4,61.5,"5,399.2"
2005-06,"1,546.0","1,429.5","1,279.5",757.1,350.1,111.6,73.0,"5,546.7"
2006-07,"1,568.9","1,433.9","1,329.0",820.7,375.5,113.3,82.8,"5,724.0"
2007-08,"1,610.7","1,426.1","1,289.5",828.0,372.5,115.5,96.0,"5,738.3"
2008-09,"1,593.5","1,421.7","1,345.7",917.2,357.2,113.8,95.0,"5,844.2"
2009-10,"1,645.3","1,426.7","1,294.4",905.7,343.7,113.7,94.2,"5,823.8"
2010-11,"1,668.0","1,448.6","1,249.6",980.3,342.8,113.8,99.8,"5,902.9"
2011-12,"1,621.3","1,457.3","1,314.8",982.2,307.7,107.0,98.2,"5,888.4"
2012-13,"1,568.4","1,425.3","1,334.8","1,019.5",356.3,112.3,100.2,"5,916.7"
2013-14,"1,526.5","1,394.8","1,338.9","1,066.6",337.1,108.0,99.1,"5,871.0"
2014-15,"1,478.8","1,392.3","1,436.1","1,045.3",356.9,104.9,84.0,"5,898.4"
2015-16,"1,524.3","1,414.8","1,464.6","1,123.9",316.4,107.1,83.9,"6,034.9"
2016-17,"1,533.0","1,384.8","1,531.9","1,176.8",287.4,107.5,83.3,"6,104.7"
2017-18,"1,564.7","1,310.0","1,548.4","1,209.7",334.7,110.5,90.2,"6,168.1"
2018-19,"1,555.6","1,276.3","1,529.5","1,261.2",324.5,108.2,133.0,"6,188.3"
2019-20,"1,477.8","1,207.7","1,486.3","1,264.9",317.7,100.1,146.5,"6,001.0"
2020-21,"1,401.6","1,128.8","1,442.6","1,238.9",308.7,103.1,145.3,"5,769.2"
2021-22,"1,374.4","1,148.1","1,428.3","1,257.9",301.3,105.4,149.8,"5,765.1"
2022-23,"1,439.2","1,172.6","1,441.7","1,293.6",300.0,105.5,129.6,"5,882.2"
,,,,,,,,
Notes:,,,,,,,,
a Total net energy consumption is the total quantity (in energy units) of primary and derived fuels consumed less the quantity of derived fuels produced. ,,,,,,,,
State and territory totals do not sum to national totals for the 1960s and early 1970s.,,,,,,,,
